Permission,Short Description,Android Protection Level,Deprecated?,Hidden?,Permission Group,PII Accessed?,PII Type,API Methods,Special Notes,Long Description
RECEIVE_MMS,Allows an application to monitor incoming MMS messages.,Dangerous,No,No,UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to monitor incoming MMS messages.
RECEIVE_SMS,Allows an application to receive SMS messages.,Dangerous,No,No,UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to receive SMS messages.
RECEIVE_STK_COMMANDS,Allows an application to receive STK related commands.,Signature | privileged,No,Yes,NONE (telephony),,,,,Allows an application to receive STK related commands.
RECEIVE_WAP_PUSH,Allows an application to receive WAP push messages.,Dangerous,No,No,UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to receive WAP push messages.
RECEIVE_WIFI_CREDENTIAL_CHANGE,Allow system apps to receive broadcast when a wifi network credential is changed.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allow system apps to receive broadcast when a wifi network credential is changed.
RECORD_AUDIO,Allows an application to record audio.,Dangerous | instant,No,No,UNDEFINED (MICROPHONE),,,,,Allows an application to record audio.
RECOVER_KEYSTORE,Allows application to manage android.security.keystore.recovery.RecoveryController.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows application to manage android.security.keystore.recovery.RecoveryController.
RECOVERY,Allows an application to do certain operations needed for interacting with the recovery (system update) system.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows an application to do certain operations needed for interacting with the recovery (system update) system.
REGISTER_CALL_PROVIDER,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_CALL_PROVIDER.,Signature | privileged,No,Yes,NONE (telephony),,,,System API.,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_CALL_PROVIDER.
REGISTER_CONNECTION_MANAGER,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_CONNECTION_MANAGER.,Signature | privileged,No,Yes,NONE (telephony),,,,System API.,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_CONNECTION_MANAGER.
REGISTER_SIM_SUBSCRIPTION,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_SIM_SUBSCRIPTION. This capability indicates that the PhoneAccount corresponds to a device SIM.,Signature | privileged,No,Yes,NONE (telephony),,,,System API.,Protects the ability to register any PhoneAccount with PhoneAccount#CAPABILITY_SIM_SUBSCRIPTION. This capability indicates that the PhoneAccount corresponds to a device SIM.
REGISTER_WINDOW_MANAGER_LISTENERS,Allows System UI to register listeners for events from Window Manager.,Signature,No,Yes,NONE (private permissions),,,,,Allows System UI to register listeners for events from Window Manager.
REMOTE_AUDIO_PLAYBACK,Allows registration for remote audio playback.,Signature,No,Yes,NONE (hardware),,,,,Allows registration for remote audio playback.
REMOTE_DISPLAY_PROVIDER,Allows an application to provide remote displays.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to provide remote displays.
REMOVE_DRM_CERTIFICATES,Allows an application to remove DRM certificates.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,Intended for system apps. System API.,Allows an application to remove DRM certificates.
REMOVE_TASKS,Allows an application to change to remove/kill tasks.,Signature | documenter,No,Yes,NONE (access other apps),,,,System API. Test API.,Allows an application to change to remove/kill tasks.
REORDER_TASKS,Allows an application to change the Z-order of tasks.,Normal,No,No,NONE (access other apps),,,,,Allows an application to change the Z-order of tasks.
REQUEST_COMPANION_RUN_IN_BACKGROUND,Allows a companion app to run in the background.,Normal,No,No,NONE (display app),,,,,Allows a companion app to run in the background.
REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,Allows a companion app to use data in the background.,Normal,No,No,NONE (display app),,,,,Allows a companion app to use data in the background.
REQUEST_DELETE_PACKAGES,Allows an application to request deleting packages.,Normal,No,No,NONE (private permission),,,,,"Allows an application to request deleting packages. Apps targeting APIs Build.VERSION_CODES.P or greater must hold this permission in order to use Intent.ACTION_UNINSTALL_PACKAGE or PackageInstaller.uninstall(VersionedPackage, IntentSender)."
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,Permission an application must hold in order to use Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.,Normal,No,No,NONE (private permissions),,,,,Permission an application must hold in order to use Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.
REQUEST_INCIDENT_REPORT_APPROVAL,Allow an application to approve an incident or bug report approval from the system.,Signature | privileged,No,Yes,NONE (special dev tools),,,,,Allow an application to approve an incident or bug report approval from the system.
REQUEST_INSTALL_PACKAGES,Allows an application to request installing packages.,Signature,No,No,NONE (private permission),,,,,Allows an application to request installing packages. Apps targeting APIs greater than 25 must hold this permission in order to use Intent.ACTION_INSTALL_PACKAGE.
REQUEST_NETWORK_SCORES,Allows applications to request network recommendations and scores from the NetworkScoreService.,Signature | setup,No,Yes,NONE (network),,,,,Allows applications to request network recommendations and scores from the NetworkScoreService.
REQUEST_NOTIFICATION_ASSISTANT_SERVICE,Allows an application the opportunity to become a android.service.notification.NotificationAssistantService. User permission is still required before access is granted.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application the opportunity to become a android.service.notification.NotificationAssistantService. User permission is still required before access is granted.
REQUEST_PASSWORD_COMPLEXITY,Allows an application to request the screen lock complexity and prompt users to update the screen lock to a certain complexity level.,Normal,No,No,NONE (screenlock),,,,,Allows an application to request the screen lock complexity and prompt users to update the screen lock to a certain complexity level.
RESET_FACE_LOCKOUT,Allows an app to reset face authentication attempt counter.,Reserved for the system | Signature,No,Yes,NONE (private permissions),,,,,Allows an app to reset face authentication attempt counter.
RESET_FINGERPRINT_LOCKOUT,Allows an app to reset fingerprint attempt counter.,Reserved for the system | Signature,No,Yes,NONE (private permissions),,,,,Allows an app to reset fingerprint attempt counter.
RESET_PASSWORD,Allows an app to reset the device password.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an app to reset the device password.
RESET_SHORTCUT_MANAGER_THROTTLING,Allows the system to reset throttling in shortcut manager.,Signature,No,Yes,NONE (low-level system),,,,,Allows the system to reset throttling in shortcut manager.
RESTART_PACKAGES,This constant was deprecated in API level 15. The ActivityManager.restartPackage(String) API is no longer supported.,Normal,Yes,No,NONE (access other apps),,,,,Removed
RESTRICTED_VR_ACCESS,Must be required by system apps when accessing restricted VR APIs.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,System API.,Must be required by system apps when accessing restricted VR APIs.
RETRIEVE_WINDOW_CONTENT,Allows an application to retrieve the content of the active window. An active window is the window that has fired an accessibility event.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows an application to retrieve the content of the active window. An active window is the window that has fired an accessibility event.
RETRIEVE_WINDOW_TOKEN,Allows an application to retrieve the window token from the accessibility manager.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to retrieve the window token from the accessibility manager.
REVIEW_ACCESSIBILITY_SERVICES,Permission that protects the Intent#ACTION_REVIEW_ACCESSIBILITY_SERVICES intent.,Signature,No,Yes,NONE (private permissions),,,,System API.,Permission that protects the Intent#ACTION_REVIEW_ACCESSIBILITY_SERVICES intent.
REVOKE_RUNTIME_PERMISSIONS,Allows an application to revoke specific permissions.,Signature | installer | verifier,No,Yes,NONE (private permission),,,,System API.,Allows an application to revoke specific permissions.
RUN_IN_BACKGROUND,Use REQUEST_COMPANION_RUN_IN_BACKGROUND instead.,Signature,Yes,Yes,NONE (display app),,,,,Use REQUEST_COMPANION_RUN_IN_BACKGROUND instead.
SCORE_NETWORKS,Allows applications to act as network scorers.,Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to act as network scorers.
SEND_DEVICE_CUSTOMIZATION_READY,Allows requesting the framework broadcast the Intent#ACTION_DEVICE_CUSTOMIZATION_READY intent.,Signature | privileged,No,Yes,NONE (private permission),,,,System API.,Allows requesting the framework broadcast the Intent#ACTION_DEVICE_CUSTOMIZATION_READY intent.
SEND_EMBMS_INTENTS,Allows an application to send EMBMS download intents to apps.,Signature | privileged,No,Yes,NONE (telephony),,,,,Allows an application to send EMBMS download intents to apps.
SEND_RESPOND_VIA_MESSAGE,Allows an application (Phone) to send a request to other applications to handle the respond-via-message action during incoming calls.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (install permission),,,,,Allows an application (Phone) to send a request to other applications to handle the respond-via-message action during incoming calls.
SEND_SHOW_SUSPENDED_APP_DETAILS,Must be required by activities that handle the intent action ACTION_SEND_SHOW_SUSPENDED_APP_DETAILS. This is for use by apps that hold SUSPEND_APPS to interact with the system.,Not for use by 3rd-parties | Signature,No,Yes,NONE (access other apps),,,,System API.,Must be required by activities that handle the intent action ACTION_SEND_SHOW_SUSPENDED_APP_DETAILS. This is for use by apps that hold SUSPEND_APPS to interact with the system.
SEND_SMS,Allows an application to send SMS messages.,Dangerous,No,No,UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to send SMS messages.
SEND_SMS_NO_CONFIRMATION,Allows an application to send SMS to premium shortcodes without user permission.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (install permission),,,,System API.,Allows an application to send SMS to premium shortcodes without user permission.
SERIAL_PORT,Allows applications to access serial ports via the SerialManager.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows applications to access serial ports via the SerialManager.
SET_ACTIVITY_WATCHER,Allows an application to watch and control how activities are started globally in the system.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Only for is in debugging (usually the monkey command). System API.,Allows an application to watch and control how activities are started globally in the system.  Only for is in debugging (usually the monkey command).
SET_ALARM,Allows an application to broadcast an Intent to set an alarm for the user.,Normal,No,No,NONE (alarm),,,,,Allows an application to broadcast an Intent to set an alarm for the user.
SET_ALWAYS_FINISH,Allows an application to control whether activities are immediately finished when put in the background.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,,Allows an application to control whether activities are immediately finished when put in the background.
SET_ANIMATION_SCALE,Modify the global animation scaling factor.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (low-level system),,,,,Modify the global animation scaling factor.
SET_DEBUG_APP,Configure an application for debugging.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,,Configure an application for debugging.
SET_DISPLAY_OFFSET,Allows an application to set display offsets for the screen.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (display app),,,,,Allows an application to set display offsets for the screen.
SET_HARMFUL_APP_WARNINGS,Allows an application to mark other applications as harmful.,Signature | verifier,No,Yes,NONE (private permissions),,,,System API.,Allows an application to mark other applications as harmful.
SET_INPUT_CALIBRATION,Allows low-level access to setting input device calibration.,Not for use by normal apps | Signature,No,Yes,NONE (private permissions),,,,,Allows low-level access to setting input device calibration.
SET_KEYBOARD_LAYOUT,Allows low-level access to setting the keyboard layout.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows low-level access to setting the keyboard layout.
SET_MEDIA_KEY_LISTENER,Allows an application to set media key event listener.,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to set media key event listener. When it's set, the application will receive the media key event before any other media sessions. If the event is handled by the listener, other sessions cannot get the event."
SET_ORIENTATION,Allows low-level access to setting the orientation (actually rotation) of the screen.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows low-level access to setting the orientation (actually rotation) of the screen.
SET_POINTER_SPEED,Allows low-level access to setting the pointer speed.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows low-level access to setting the pointer speed.
SET_PREFERRED_APPLICATIONS,"This constant was deprecated in API level 15. No longer useful, see PackageManager.addPackageToPreferred(String) for details.",Signature | installer | verifier,Yes,No,NONE (low-level system),,,,,"This constant was deprecated in API level 15. No longer useful, see PackageManager.addPackageToPreferred(String) for details."
SET_PROCESS_LIMIT,Allows an application to set the maximum number of (not needed) application processes that can be running.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,,Allows an application to set the maximum number of (not needed) application processes that can be running.
SET_SCREEN_COMPATIBILITY,Change the screen compatibility mode of applications.,Signature,No,Yes,NONE (low-level system),,,,System API.,Change the screen compatibility mode of applications.
SET_TIME,Allows applications to set the system time.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (clock),,,,,Allows applications to set the system time.
SET_TIME_ZONE,Allows applications to set the system time zone.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (clock),,,,,Allows applications to set the system time zone.
SET_VOLUME_KEY_LONG_PRESS_LISTENER,Allows an application to set the volume key long-press listener.,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to set the volume key long-press listener. When it's set, the application will receive the volume key long-press event instead of changing volume."
SET_WALLPAPER,Allows applications to set the wallpaper.,Normal,No,No,NONE (wallpaper),,,,,Allows applications to set the wallpaper.
SET_WALLPAPER_COMPONENT,Allows applications to set a live wallpaper.,Signature | privileged,No,Yes,NONE (private permissions),,,,Change to signature once the picker is moved to its own apk as Ghod Intended. System API.,Allows applications to set a live wallpaper.
SET_WALLPAPER_HINTS,Allows applications to set the wallpaper hints.,Normal,No,No,NONE (wallpaper),,,,,Allows applications to set the wallpaper hints.
SHOW_KEYGUARD_MESSAGE,Allows an application to show a message on the keyguard when asking to dismiss it.,This is a platform-only permission | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to show a message on the keyguard when asking to dismiss it.
SHUTDOWN, Allows an application to call the activity manager shutdown() API to put the higher-level system there into a shutdown state.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API., Allows an application to call the activity manager shutdown() API to put the higher-level system there into a shutdown state.
SIGNAL_PERSISTENT_PROCESSES,Allow an application to request that a signal be sent to all persistent processes.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,,Allow an application to request that a signal be sent to all persistent processes.
SMS_FINANCIAL_TRANSACTIONS,Allows financial apps to read filtered sms messages.,Signature | appop,No,No,NONE (private permission),,,,,Allows financial apps to read filtered sms messages.
START_ACTIVITIES_FROM_BACKGROUND,Allows an application to start activities from background.,Signature | privileged | vendorPrivileged | oem | verifier,No,Yes,NONE (access other apps),,,,,Allows an application to start activities from background.
START_ACTIVITY_AS_CALLER,"Allows an application to start an activity as another app, provided that app has been granted a permissionToken from the ActivityManagerService.",Signature,No,Yes,NONE (access other apps),,,,,"Allows an application to start an activity as another app, provided that app has been granted a permissionToken from the ActivityManagerService."
START_ANY_ACTIVITY,"Allows an application to start any activity, regardless of permission protection or exported state.",Signature,No,Yes,NONE (access other apps),,,,,"Allows an application to start any activity, regardless of permission protection or exported state."
START_TASKS_FROM_RECENTS,Allows an application to start a task from a ActivityManager#RecentTaskInfo.,Signature | privileged,No,Yes,NONE (access other apps),,,,,Allows an application to start a task from a ActivityManager#RecentTaskInfo.
START_VIEW_PERMISSION_USAGE,Allows the holder to start the permission usage screen for an app.,Signature | installer,No,No,NONE (private permission),,,,,Allows the holder to start the permission usage screen for an app.
STATSCOMPANION,Allows an application to manage statscompanion.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,,Allows an application to manage statscompanion.
STATUS_BAR,"Allows an application to open, close, or disable the status bar and its icons.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permission),,,,,"Allows an application to open, close, or disable the status bar and its icons."
STOP_APP_SWITCHES,"Allows an application to tell the activity manager to temporarily stop application switches, putting it into a special mode that prevents applications from immediately switching away from some critical UI such as the home screen.",Signature | privileged,No,Yes,NONE (private permission),,,,System API.,"Allows an application to tell the activity manager to temporarily stop application switches, putting it into a special mode that prevents applications from immediately switching away from some critical UI such as the home screen."
STORAGE_INTERNAL,None,Signature,No,Yes,NONE (low-level system),,,,,None
SUBSCRIBED_FEEDS_READ,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
SUBSCRIBED_FEEDS_WRITE,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
SUBSTITUTE_NOTIFICATION_APP_NAME,Allows an application to replace the app name displayed alongside notifications in the N-release and later.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,System API.,Allows an application to replace the app name displayed alongside notifications in the N-release and later.
SUBSTITUTE_SHARE_TARGET_APP_NAME_AND_ICON,Allows an activity to replace the app name and icon displayed in share targets in the sharesheet for the Q-release and later.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permission),,,,System API.,Allows an activity to replace the app name and icon displayed in share targets in the sharesheet for the Q-release and later.
SUSPEND_APPS,"Allows an application to suspend other apps, which will prevent the user from using them until they are unsuspended.",Signature | wellbeing,No,Yes,NONE (peripheral),,,,System API. Test API.,"Allows an application to suspend other apps, which will prevent the user from using them until they are unsuspended."
SYSTEM_ALERT_WINDOW,"Allows an app to create windows using the type WindowManager.LayoutParams.TYPE_APPLICATION_OVERLAY, shown on top of all other apps.",Signature | preinstalled | appop | pre23 | development,No,No,NONE (app display),,,,"If the app targets API level 23 or higher, the app user must explicitly grant this permission to the app through a permission management screen. The app requests the user's approval by sending an intent with action Settings.ACTION_MANAGE_OVERLAY_PERMISSION. The app can check whether it has this authorization by calling Settings.canDrawOverlays().","Allows an app to create windows using the type WindowManager.LayoutParams.TYPE_APPLICATION_OVERLAY, shown on top of all other apps. Very few apps should use this permission; these windows are intended for system-level interaction with the user."
TABLET_MODE,Allows an application to query tablet mode state and monitor changes in it.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,,Allows an application to query tablet mode state and monitor changes in it.
TEMPORARY_ENABLE_ACCESSIBILITY,Allows an application to temporary enable accessibility on the device.,Signature,No,Yes,NONE (private permission),,,,,Allows an application to temporary enable accessibility on the device.
TEST_BLACKLISTED_PASSWORD,Allows testing if a passwords is forbidden by the admins.,Not for use by 3rd-parties | Signature,No,Yes,NONE (hardware),,,,,Allows testing if a passwords is forbidden by the admins.
TEST_MANAGE_ROLLBACKS,Allows testing apk level rollbacks.,Signature,No,Yes,NONE (private permission),,,,Test API.,Allows testing apk level rollbacks.
TETHER_PRIVILEGED,Allows applications to change tether state and run tether carrier provisioning.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to change tether state and run tether carrier provisioning.
TRANSMIT_IR,"Allows using the device's IR transmitter, if available.",Normal,No,No,NONE (battery),,,,,"Allows using the device's IR transmitter, if available."
TRIGGER_TIME_ZONE_RULES_CHECK,"Must be required by a time zone rule updater application, to ensure that only the system can trigger it.",Signature,No,Yes,NONE (low-level system),,,,,"Must be required by a time zone rule updater application, to ensure that only the system can trigger it."
TRUST_LISTENER,Allows an application to listen to trust changes.,Only allowed for system processes | Signature,No,Yes,NONE (private permission),,,,,Allows an application to listen to trust changes.
TV_INPUT_HARDWARE,Allows TvInputService to access underlying TV input hardware such as built-in tuners and HDMI-in's.,This should only be used by OEM's TvInputService's | Signature | privileged | vendorPrivileged,No,Yes,NONE (hardware),,,,System API.,Allows TvInputService to access underlying TV input hardware such as built-in tuners and HDMI-in's.
TV_VIRTUAL_REMOTE_CONTROLLER,Must be required for a virtual remote controller for TV.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permission),,,,System API.,Must be required for a virtual remote controller for TV.
UNINSTALL_SHORTCUT,Don't use this permission in your app.,Normal,Yes,No,NONE (shortcut),,,,Don't use this permission in your app.,Don't use this permission in your app. This permission is no longer supported.
UNLIMITED_SHORTCUTS_API_CALLS,Allows unlimited calls to shortcut mutation APIs.,Signature | textClassifier,No,Yes,NONE (private permission),,,,System API.,Allows unlimited calls to shortcut mutation APIs.
UPDATE_APP_OPS_STATS,Allows an application to update application operation statistics.,Not for use by 3rd-parties | Signature | privileged | installer,No,Yes,NONE (private permission),,,,System API.,Allows an application to update application operation statistics.
UPDATE_CONFIG,Allows an application to initiate configuration updates.,Signature | privileged,No,Yes,NONE (low-level system),,,,,Allows an application to initiate configuration updates. An application requesting this permission is responsible for verifying the source and integrity of any update before passing it off to the various individual installer components
UPDATE_DEVICE_STATS,Allows an application to update device statistics.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permission),,,,,Allows an application to update device statistics.
UPDATE_LOCK,"Allows an application to hold an UpdateLock, recommending that a headless OTA reboot not occur while the lock is held.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to hold an UpdateLock, recommending that a headless OTA reboot not occur while the lock is held."
UPDATE_LOCK_TASK_PACKAGES,Allows an application to whitelist tasks during lock task mode.,Not for use by 3rd-parties | Signature | setup,No,Yes,NONE (private permission),,,,,
UPDATE_TIME_ZONE_RULES,Allows a time zone rule updater application to request the system installs / uninstalls timezone rules.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows a time zone rule updater application to request the system installs / uninstalls timezone rules. An application requesting this permission is responsible for verifying the source and integrity of the update before passing it off to the installer components.
USE_BIOMETRIC,Allows an app to use device supported biometric modalities.,Normal,No,No,SENSORS,,,,,Allows an app to use device supported biometric modalities.
USE_BIOMETRIC_INTERNAL,Allows direct access to the <Biometric>Service authentication methods.,Reserved for the system | Signature,No,Yes,NONE (private permissions),,,,,Allows direct access to the <Biometric>Service authentication methods.
USE_COLORIZED_NOTIFICATIONS,Allows notifications to be colorized.,Not for use by 3rd-parties | Signature | setup,No,Yes,NONE (private permissions),,,,,Allows notifications to be colorized.
USE_CREDENTIALS,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
USE_DATA_IN_BACKGROUND,Use REQUEST_COMPANION_USE_DATA_IN_BACKGROUND instead.,Signature,Yes,Yes,NONE (display app),,,,,Use REQUEST_COMPANION_USE_DATA_IN_BACKGROUND instead.
USE_FINGERPRINT,This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead,Normal,Yes,No,SENSORS,,,,,Allows an app to use fingerprint hardware.
USE_FULL_SCREEN_INTENT,Required for apps targeting Build.VERSION_CODES.Q that want to use notification full screen intents.,Normal,No,No,NONE (private permission),,,,,Required for apps targeting Build.VERSION_CODES.Q that want to use notification full screen intents.
USE_RESERVED_DISK,Allows an application to use reserved disk space.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (sdcard),,,,"Should only be requested by apps that provide core system functionality, to ensure system stability when disk is otherwise completely full. System API.",Allows an application to use reserved disk space.
USE_SIP,Allows an application to use SIP service.,Dangerous,No,No,UNDEFINED (PHONE),,,,,Allows an application to use SIP service.
USER_ACTIVITY,Allows access to the PowerManager.userActivity function.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows access to the PowerManager.userActivity function.
VIBRATE,Allows access to the vibrator.,Normal | instant,No,No,NONE (battery),,,,,Allows access to the vibrator.
VIEW_INSTANT_APPS,Allows the holder to view the instant applications on the device.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,,Allows the holder to view the instant applications on the device.
WAKE_LOCK,Allows using PowerManager WakeLocks to keep processor from sleeping or screen from dimming.,Normal | instant,No,No,NONE (battery),,,,,Allows using PowerManager WakeLocks to keep processor from sleeping or screen from dimming.
WATCH_APPOPS,Allows an application to watch changes and/or active state of app ops.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to watch changes and/or active state of app ops.
WHITELIST_RESTRICTED_PERMISSIONS,Allows an application to whitelist restricted permissions on any of the whitelists.,Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to whitelist restricted permissions on any of the whitelists.
WIFI_SET_DEVICE_MOBILITY_STATE,Allows device mobility state to be set so that Wifi scan interval can be increased when the device is stationary in order to save power.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows device mobility state to be set so that Wifi scan interval can be increased when the device is stationary in order to save power.
WIFI_UPDATE_USABILITY_STATS_SCORE,Allows privileged system APK to update Wifi usability stats and score.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows privileged system APK to update Wifi usability stats and score.
WRITE_APN_SETTINGS,Allows applications to write the apn settings and read sensitive fields of an existing apn settings like user and password.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (low-level system),,,,,Allows applications to write the apn settings and read sensitive fields of an existing apn settings like user and password.
WRITE_BLOCKED_NUMBERS,Allows the holder to write blocked numbers. See android.provider.BlockedNumberContract.,Signature,No,Yes,NONE (private permissions),,,,,Allows the holder to write blocked numbers. See android.provider.BlockedNumberContract.
WRITE_CALENDAR,Allows an application to write the user's calendar data.,Dangerous,No,No,UNDEFINED (CALENDAR),,,,,Allows an application to write the user's calendar data.
WRITE_CALL_LOG,Allows an application to write (but not read) the user's call log data.,Dangerous,No,No,UNDEFINED (CALL_LOG),,,,"If your app uses the WRITE_CONTACTS permission and both your minSdkVersion and targetSdkVersion values are set to 15 or lower, the system implicitly grants your app this permission. If you don't need this permission, be sure your targetSdkVersion is 16 or higher. This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).",Allows an application to write (but not read) the user's call log data.
WRITE_CONTACTS,Allows an application to write the user's contacts data.,Dangerous,No,No,UNDEFINED (CONTACTS),,,,,Allows an application to write the user's contacts data.
WRITE_DEVICE_CONFIG,Allows an application to modify config settings.,Not for use by 3rd-parties | Signature | verifier | configurator,No,Yes,NONE (low-level system),,,,System API. Test API.,Allows an application to modify config settings.
WRITE_DREAM_STATE,"Allows applications to write dream settings, and start or stop dreaming.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows applications to write dream settings, and start or stop dreaming."
WRITE_EMBEDDED_SUBSCRIPTIONS,Allows an application to manage embedded subscriptions (those on a eUICC) through EuiccManager APIs.,Signature | privileged | development,No,Yes,NONE (telephony),,,,System API.,Allows an application to manage embedded subscriptions (those on a eUICC) through EuiccManager APIs.
WRITE_EXTERNAL_STORAGE,Allows an application to write to external storage.,Dangerous,No,No,UNDEFINED (STORAGE),,,,"If both your minSdkVersion and targetSdkVersion values are set to 3 or lower, the system implicitly grants your app this permission. If you don't need this permission, be sure your targetSdkVersion is 4 or higher. Starting in API level 19, this permission is not required to read/write files in your application-specific directories returned by Context.getExternalFilesDir(String) and Context.getExternalCacheDir(). If this permission is not whitelisted for an app that targets an API level before Build.VERSION_CODES.Q this permission cannot be granted to apps.",Allows an application to write to external storage.
WRITE_GSERVICES,Allows an application to modify the Google service map.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (low-level system),,,,,Allows an application to modify the Google service map.
WRITE_HISTORY_BOOKMARKS,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
WRITE_MEDIA_STORAGE,Allows an application to write to internal media storage.,Signature | privileged,No,Yes,NONE (sdcard),,,,System API. Test API.,Allows an application to write to internal media storage.
WRITE_OBB,Allows an application to modify OBB files visible to other apps.,Signature | privileged,No,Yes,NONE (STORAGE),,,,System API. Test API.,Allows an application to modify OBB files visible to other apps.
WRITE_PROFILE,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
